city,state_id,state,county_name,lat,lng,population,density
Gilberton,PA,Pennsylvania,Schuylkill,40.7961,-76.2235,723,196
Arivaca,AZ,Arizona,Pima,31.575,-111.2926,723,10
Woodville,AL,Alabama,Jackson,34.6256,-86.2792,723,42
Mohall,ND,North Dakota,Renville,48.7661,-101.5169,723,262
Jerome,PA,Pennsylvania,Somerset,40.2136,-78.9809,722,107
Green Mountain Falls,CO,Colorado,Teller,38.9345,-105.0235,722,255
Heuvelton,NY,New York,St. Lawrence,44.617,-75.4046,722,366
Morrison,TN,Tennessee,Warren,35.6048,-85.9117,722,103
Elizabeth,IL,Illinois,Jo Daviess,42.3164,-90.2206,722,319
Winton,NC,North Carolina,Hertford,36.3899,-76.9349,722,344
Coalville,IA,Iowa,Webster,42.4406,-94.1193,722,127
Grayland,WA,Washington,Grays Harbor,46.8304,-124.0898,722,40
Gaston,OR,Oregon,Washington,45.4348,-123.1449,722,822
Noonday,TX,Texas,Smith,32.2445,-95.397,722,133
Stewardson,IL,Illinois,Shelby,39.2639,-88.6301,721,449
North High Shoals,GA,Georgia,Oconee,33.8271,-83.5014,721,115
Holdingford,MN,Minnesota,Stearns,45.7298,-94.4717,721,334
Whitewater,KS,Kansas,Butler,37.9636,-97.146,721,677
Bulls Gap,TN,Tennessee,Hawkins,36.2616,-83.0788,721,228
Tyronza,AR,Arkansas,Poinsett,35.4868,-90.3559,721,180
Fremont,IA,Iowa,Mahaska,41.2126,-92.4342,721,269
Koppel,PA,Pennsylvania,Beaver,40.8356,-80.3213,721,518
Shipshewana,IN,Indiana,LaGrange,41.6743,-85.5765,721,204
Bufalo,PR,Puerto Rico,Barceloneta,18.4175,-66.5749,721,1691
Berlin,OH,Ohio,Holmes,40.5628,-81.8011,721,197
Liberal,MO,Missouri,Barton,37.559,-94.5161,721,334
Cedar Key,FL,Florida,Levy,29.1462,-83.0388,720,275
Peletier,NC,North Carolina,Carteret,34.727,-77.0759,720,76
Brownton,MN,Minnesota,McLeod,44.7326,-94.3508,720,700
Forest Junction,WI,Wisconsin,Calumet,44.2139,-88.1496,720,107
New Washington,IN,Indiana,Clark,38.5657,-85.5461,720,53
Alma,WI,Wisconsin,Buffalo,44.3371,-91.9223,719,52
Golden City,MO,Missouri,Barton,37.3931,-94.0943,719,268
Grandview,IN,Indiana,Spencer,37.9369,-86.9842,719,289
Cammack Village,AR,Arkansas,Pulaski,34.7808,-92.3449,719,981
Edgemont,SD,South Dakota,Fall River,43.2973,-103.8323,719,201
Lakeview,AR,Arkansas,Baxter,36.3739,-92.5387,719,266
Lake Tapawingo,MO,Missouri,Jackson,39.019,-94.3131,719,756
Karlstad,MN,Minnesota,Kittson,48.578,-96.5169,719,184
Quitman,AR,Arkansas,Cleburne,35.382,-92.2142,719,143
Deal,NJ,New Jersey,Monmouth,40.2497,-73.9976,719,234
Kansas,IL,Illinois,Edgar,39.5545,-87.9396,719,271
Challenge-Brownsville,CA,California,Yuba,39.4646,-121.2632,719,28
Buckley,MI,Michigan,Wexford,44.5033,-85.672,718,152
Etna,CA,California,Siskiyou,41.4582,-122.8946,718,364
New Florence,MO,Missouri,Montgomery,38.9092,-91.4529,718,92
San Jose,AZ,Arizona,Graham,32.8169,-109.5957,718,66
Addison,AL,Alabama,Winston,34.2017,-87.1765,718,73
Ider,AL,Alabama,DeKalb,34.7022,-85.6691,718,51
Fair Haven,NY,New York,Cayuga,43.3263,-76.7044,717,157
Kadoka,SD,South Dakota,Jackson,43.8325,-101.5081,717,121
Flemington,GA,Georgia,Liberty,31.8507,-81.5603,717,58
Glen Ullin,ND,North Dakota,Morton,46.812,-101.8333,717,271
Perrysville,OH,Ohio,Ashland,40.6584,-82.3144,717,351
Welaka,FL,Florida,Putnam,29.4822,-81.6658,717,187
Parmelee,SD,South Dakota,Todd,43.3241,-101.041,717,48
Lyons,IN,Indiana,Greene,38.9884,-87.0812,716,343
